ID;Ecran_ou_Fonction;Fichier;Lignes;Ce_que_ca_fait;Donnees_lues;Donnees_ecrites;Endpoints_appeles;Signalement
E-046;POST type=course-dispute-close;api/admin.js;1691-1716;Cloture un litige: EFFACE les videos de la course dans Firebase Storage et passe litige.open=false avec decision/closedAt dans le doc course.;req.body (id/decision), Firestore courses/{id};Firestore courses/{id} update (videos:[], litige clos), Firebase Storage deleteFiles;Firebase Storage (deleteFiles prefix courses/{id}/videos/);-
E-047;POST type=course-delete;api/admin.js;1722-1762;Supprime DEFINITIVEMENT une course et tout ce qui lui appartient: sous-collections photos et messages, videos Storage, puis le doc en dernier (rejouable).;req.body.id, Firestore courses/{id} + sous-collections;Firestore delete photos, messages, doc course , Firebase Storage deleteFiles videos;Firebase Storage (deleteFiles);-
E-048;POST type=invite-code-delete;api/admin.js;1764-1773;Supprime un code d'invitation.;req.body.code;Firestore invite_codes/{code} (delete);-;-
E-049;POST type=partner-delete;api/admin.js;1775-1785;Supprime une carte artisan et sa liaison privee.;req.body.id;Firestore partners/{id} (delete), partners_private/{id} (delete);-;-
E-050;POST type=charge;api/admin.js;1788-1807;Enregistre une charge reelle (categorie parmi liste fixe, montant HT, TVA deductible, date).;req.body (category/label/amountHt/tvaDeductible/dateMs);Firestore charges (add);-;-
E-051;POST type=refund;api/admin.js;1818-1851;Enregistre un remboursement client (montant TTC, cout annule, commission rendue, territoire, avoirRef, paymentId). Diminue CA/TVA collectee, jamais une charge.;req.body (amountTtc/cogsAnnuleHt/commissionRendue/territory/avoirRef/paymentId/label/dateMs), pricing.getTerritory;Firestore refunds (add);-;-
E-052;DELETE type=refund;api/admin.js;1854-1863;Supprime un remboursement mal saisi par id.;req.query.id ou req.body.id;Firestore refunds/{id} (delete);-;-
E-053;POST type=invoice-config;api/admin.js;1866-1879;Sauvegarde l'identite vendeur pour les factures (allowlist de champs bornes a 200, franchise booleen).;req.body (raisonSociale/siret/tvaIntra/... /franchise);Firestore config/invoice (set merge);-;-
E-054;DELETE type=charge;api/admin.js;1882-1891;Supprime une charge par id.;req.query.id ou req.body.id;Firestore charges/{id} (delete);-;-
E-055;POST generic (override save);api/admin.js;1894-1929;POST par defaut (sans type reconnu): upsert d'un product_override via allowlist de champs. Ecrit merge true.;req.body (id + champs allowlist: stock_status,stock_label,price,price_ht,vat,currency,title,desc,description,tag,paymentLink,hidden);Firestore product_overrides/{id} (set merge true);-;L'allowlist accepte price et price_ht bruts du body sans passer par le calculateur, contrairement a product-create/product-edit qui interdisent la saisie manuelle du prix.
E-056;DELETE generic (override delete);api/admin.js;1932-1942;DELETE par defaut (sans type reconnu): supprime un product_override par id.;req.query.id ou req.body.id;Firestore product_overrides/{id} (delete);-;-
E-057;AUTH gate (contact.js);api/contact.js;14-75;contact.js n'a AUCUNE route protegee par requireAdmin/x-admin-secret. Le handler POST route par body.type: branches publiques (contact form, partner-application) et branches authentifiees par ID token Firebase de l'utilisateur (Bearer via verifyUid/verifyIdentity) pour partner-card et courses. Les operations d'administration sur courses/litiges (cloture, suppression, liste) vivent dans api/admin.js, pas ici.;req.body.type, en-tete Authorization Bearer (verifyUid), allowlist comptes de test pour courses;selon branche (voir contact.js courses);Resend, Firebase Auth/Storage;Aucune branche admin-secret dans contact.js, l'acces est per-utilisateur, jamais un claim admin. Le service coursier est restreint a une allowlist de comptes de test.
