ID;Fichier;Lignes;Axe;Severite;Constat;Preuve;Recommandation;Impact;Effort
ST-004;api/admin.js;1093-1094;Statistiques;P1;Marge nette moyenne et marge EUR cumulee calculees sur 1 unite de CHAQUE reference , NON ponderees par les ventes reelles: moyenne arithmetique de marginPct (un produit=un poids) et somme de netEur d'une seule unite;admin.js:1094 avg = rows.reduce((s,r)=>s+r.marginPct,0)/rows.length , admin.js:1093 totalNet = somme de r.netEur (1 unite chacun) , sous-titre client 'marge cumulee (1 vente de chaque)';Ponderer par le volume vendu (purchases de analytics_products ou qty de payments.linesDetail): avgPonderee = somme(marginPct x qte)/somme(qte) , marge EUR reelle = somme(netEur x qte). Conserver la marge theorique a cote , etiquetee;4;M
ST-005;admin.bundle.js + api/admin.js;1140 / 1164 / 1065-1091;Statistiques;P3;Tous les indicateurs de marge sont une photo du catalogue au prix courant , sans periode ni horodatage - l'utilisateur ne sait pas de quand datent les couts et prix affiches;admin.js:1065-1091 calcul sur catalog + product_overrides + pricing-config COURANTS , admin.bundle.js:1140 compta-kpi sans date;Pas de selecteur de periode (c'est un calcul d'etat courant): afficher un horodatage 'au JJ/MM' + l'origine du cout (costSrc). RECOMMANDE: Total / etat courant uniquement , clairement date;2;S
ST-006;api/_lib/analytics.js + api/admin.js;211-222 / 693;Statistiques;P2;Les compteurs produits (Vues/Clics/Panier/Achats/Temps moyen) sont des totaux CUMULES par doc analytics_products , SANS aucune dimension date -> impossible de proposer 7j/30j sans changer le schema de stockage;analytics.js:220 ops.push doc=ev.id inc cumulatif (pas de cle jour) , admin.js:693 readAll('analytics_products') , aucun champ date sur le doc produit;Pour une vraie periode par produit , bucketiser par jour (sous-collection analytics_products/{id}/daily/{YYYY-MM-DD}) ou cles datees. Sinon n'afficher que le Total. RECOMMANDE: Total (seul fiable aujourd'hui) + note;3;L
ST-007;admin.bundle.js + api/admin.js;873-887 / 738;Statistiques;P2;Le compte de resultat (CA , marge , IS , TVA) agrege TOUS les payments depuis le debut sans selecteur d'exercice - or les paiements portent recordedAtMs et sont deja regroupables par mois (par_mois);admin.js:738 db.collection('payments').get() sans filtre , accounting.js:162-165 monthKey deja calcule par vente , admin.bundle.js:887-888 tableau par mois existant;Ajouter un filtre par exercice/annee (l'IS et la TVA sont des grandeurs ANNUELLES: un cumul all-time les fausse). RECOMMANDE: defaut exercice courant , options annee precedente et Total;3;M
ST-008;admin.bundle.js + api/_lib/analytics.js;40-42 / 196-199;Statistiques;P3;'Visiteurs identifies' ne compte QUE les visiteurs ayant consenti (newVisitors/returningVisitors incrementes seulement si consent && visitorId) , presente sans mention que les anonymes en sont exclus - sous-total pris pour un total;analytics.js:196-199 daily.inc[nv?newVisitors:returningVisitors] gardee par if(consent && visitorId) , admin.bundle.js:40-42 totalVisitors = newVisitors+returningVisitors sans avertissement;Etiqueter 'Visiteurs consentis' et afficher le total sessions a cote pour situer la proportion mesuree;2;S
ST-009;admin.bundle.js;893 / 903-910;Statistiques;P3;Le seuil d'objectif partenariat (10 000 EUR DeWALT) est code en dur dans le bundle CLIENT , pas en configuration -> tout changement impose un redeploiement + bump de VERSION/ASSET_VER du SW;admin.bundle.js:893 BRAND_TARGETS={DeWALT:10000} , admin.bundle.js:903-910 pct=Math.min(100,Math.round(val/target*100));Deplacer les cibles en config Firestore (config/pricing ou config/partners) servie par l'API admin , comme le reste de la configuration;2;M
ST-010;api/admin.js;686-696;Statistiques;P3;readAll lit analytics_products/clicks/geo SANS limit ni pagination: la charge de lecture croit avec le catalogue et le nombre de libelles cliques (analytics_clicks = 1 doc/libelle , non borne). Pas une troncature mais un cout non maitrise;admin.js:686-691 s = await db.collection(coll).get() sans limit , admin.js:694 readAll('analytics_clicks');Borner (limit + tri serveur quand possible) ou pre-agreger , et surveiller le nombre de docs analytics_clicks qui n'a pas de plafond naturel;2;M
QU-001;api/_lib/price-parse.js;2096-2097 / 2109-2110;Qualite;P1;SERIES et BOITES declares DEUX fois avec var: la 1re SERIES (derivee dynamiquement de nomen.GAMMES) est ECRASEE par une liste codee en dur -> la table de gammes de la nomenclature est jetee silencieusement , BOITES est un doublon regex strictement identique (code mort);price-parse.js:2096 var SERIES=Object.keys(nomen.GAMMES).map(...) puis 2109 var SERIES=['flexvolt','powerstack',...] , price-parse.js:2097 et 2110 var BOITES=/\\b(t-?stak|...)/ identiques;Supprimer les redeclarations 2109-2110 (dead code) et verifier que nomen.GAMMES couvre bien la liste statique , si la liste statique est voulue retirer la version dynamique. Un test doit prouver quelle SERIES gagne;4;S
QU-002;api/_lib/pricing-model.js;18 / 27;Qualite;P2;Commentaires citent une collection Firestore pricing_config alors que le vrai chemin est le doc config/pricing (collection 'config' , doc 'pricing') - commentaire trompeur pour qui cherche la config;pricing-model.js:18 et 27 mentionnent pricing_config , chemin reel pricing-config.js:74 db.collection('config').doc('pricing').get() et 130 .set() , pricing-config.js:2 dit bien 'Doc unique Firestore config/pricing';Corriger les commentaires en config/pricing. Le meme flottement existe pricing-config.js:18 ('config Firestore pricing_config') - aligner les trois;2;S
QU-003;admin.bundle.js;262-263;Qualite;P2;catch(){} ENTIEREMENT vide sur le chargement de la vue globe (three.js): toute erreur d'init 3D est avalee sans trace ni repli visible -> ecran globe muet si ca casse , diagnostic impossible;admin.bundle.js:262-263 .catch(function(){}) sans corps;Journaliser (console.error) et afficher un etat de repli ('globe indisponible') au lieu d'avaler l'erreur silencieusement;2;S
QU-004;admin.bundle.js;216-217 / 2015-2016;Qualite;P3;Deux catch(_){} vides: setPointerCapture (216) et scrollIntoView (2015). Benins (APIs cosmetiques) mais avalent tout sans commentaire justificatif;admin.bundle.js:216-217 catch(_){} , admin.bundle.js:2015-2016 catch(_){};Acceptable si commente (API cosmetique , echec sans consequence) , sinon journaliser en debug. Priorite basse;1;S
QU-005;api/admin.js;706-709;Qualite;P2;Le count() des commandes par client tombe silencieusement a 0 (catch(_){orderCount=0}): un client AVEC commandes affiche '0 commande' , indistinct d'un client reellement sans commande - une panne d'agregat se lit comme une donnee reelle;admin.js:706-709 try{ agg=...count().get() orderCount=agg.data().count }catch(_){ orderCount=0 };Distinguer l'echec (afficher '-' ou 'n/c') d'un vrai 0 , au minimum console.warn pour tracer l'echec de l'agregat;3;S
QU-006;api/_lib/accounting.js;236-237 / 258;Qualite;P3;Champ duplique frais_encaissement + alias herite frais_stripe portant la MEME valeur (idem dans le bloc brut) - dette de nommage assumee mais source de confusion durable;accounting.js:236-237 frais_encaissement/frais_stripe = round2(commission) , accounting.js:258 memes deux champs dans brut;Documenter la date de retrait de l'alias (migration ecran) et supprimer frais_stripe quand plus aucun ecran ne le lit;1;S
QU-007;api/admin.js;900-901 / 919-920 / 950-951 / 991-992;Qualite;P3;Chaines .catch(()=>db...get()).catch(()=>null): le 2e catch avale toute erreur restante en null sans trace -> une panne Firestore reelle devient 'aucune donnee' , indistinct d'une collection vide;admin.js:900-901 courses , 919-920 , 950-951 , 991-992 courier_applications (double .catch dont le dernier renvoie null);Le 1er catch (repli d'index) est legitime , le 2e devrait journaliser (console.warn) avant de renvoyer null pour ne pas masquer une panne;2;S
