ID;Fichier;Lignes;Niveau;Constat;Preuve;Action_proposee;Priorite
CODE-095;api/contact.js;737;BAS;alertCourierApplication jette systématiquement (db et course non définis) et l'exception est avalée : aucun dossier livreur déposé n'a jamais généré d'alerte, en silence.;extrait verifie ligne 737 : try { await coursesLib.alertCourierApplication(compte, uid, cfg), } catch (_) {};Corriger la fonction dans _lib/courses.js puis journaliser l'échec au lieu de l'avaler.;P1
CODE-096;api/contact.js;1386;BAS;course-list lit les 50 courses les plus récentes TOUTES CONFONDUES puis filtre par uid : dès que 50 courses existent au global, un utilisateur ne voit plus les siennes.;extrait verifie ligne 1386 : const snap = await db.collection('courses').orderBy('createdAt', 'desc').limit(5;Interroger séparément where('artisanUid','==',uid) et where('courierUid','==',uid), et ne balayer la liste globale que pour les disponibles.;P1
CODE-097;api/contact.js;356;MOYEN;partner-card-media écrit toujours photos et logo : un appel qui n'envoie que les photos efface le logo enregistré, et inversement.;extrait verifie ligne 356 : const photos = Array.isArray(body.photos) ? body.photos.filter(isDataImg).slice(;Ne poser dans le patch que les champs réellement présents dans le corps.;P2
CODE-098;api/contact.js;1622;MOYEN;escrow ne peut valoir que 'liberable' ou null à cet endroit (ligne 1591) : la branche 'libere' est morte, comme la variable `released` toujours false juste au-dessus.;extrait verifie ligne 1622 : + (escrow === 'libere' ? 'virement envoyé vers ton compte.';Supprimer la branche et la variable mortes laissées par le retrait du virement automatique.;P3
CODE-099;api/contact.js;477;BON;Le limiteur est clé sur l'uid vérifié avec des seaux séparés lecture/écriture, ce qui corrige la panne où une IP mobile partagée bloquait tous les clients.;extrait verifie ligne 477 : const quotaOk = await rl.allow(;Rien à changer.;P3
CODE-100;api/contact.js;62;MOYEN;Un seul fichier de 1782 lignes route 25+ opérations métier hétérogènes par une chaîne de comparaisons de chaînes, ce qui a directement produit les deux ReferenceError ci-dessus (variables partagées entre blocs).;extrait verifie ligne 62 : if (body.type === 'course-create' || body.type === 'course-list' || body.type ==;Éclater en une table de routage { type: handler } avec un module par domaine (courses, partenaires, compte).;P2
CODE-101;api/admin.js;630;BAS;`body` n'est pas déclaré dans la branche GET (les const body sont dans des blocs POST) : GET ?type=raz-compta lève ReferenceError et répond 500 — la route de remise à zéro est entièrement morte.;extrait verifie ligne 630 : if (String((body && body.confirmer) || '') !== 'OUI') {;Déclarer const body = req.body || {} en tête du handler, ou déplacer raz-compta dans la branche POST.;P1
CODE-102;api/admin.js;1881;BAS;Le POST générique écrit `price`, `price_ht` et `vat` BRUTS dans product_overrides sans contrôle de type ni de signe, alors que ces champs alimentent directement pricing.unitCents dans create-payment-intent.;extrait verifie ligne 1881 : const allowed = [;Valider chaque champ numérique (nombre fini, strictement positif, borné) avant écriture, comme le fait déjà product-edit pour weight_kg.;P1
CODE-103;api/admin.js;2364;BAS;reprice-all effectue une écriture Firestore séquentielle par produit dans une boucle for-of sur tout le catalogue (1300+ fiches), sans batch : quota consommé et délai de fonction serverless dépassé.;extrait verifie ligne 2364 : await db.collection('product_overrides').doc(p.id).set({;Grouper les écritures par lots de 400 avec db.batch(), comme le fait déjà cron-report.;P1
CODE-104;api/admin.js;1587;MOYEN;Le code d'invitation, qui donne droit à un abonnement Black gratuit, est tiré avec Math.random (non cryptographique), alors que courses.js utilise crypto.randomInt pour le code de remise.;extrait verifie ligne 1587 : for (let i = 0, i < 6, i++) code += alphabet[Math.floor(Math.random() * alphabet;Utiliser crypto.randomInt pour la génération de ce code.;P2
CODE-105;api/admin.js;63;BON;Les deux portes sont distinctes et la porte traqueur est traitée avant celle de l'administration, ce qui corrige la panne silencieuse du 31/07 sans élargir les droits.;extrait verifie ligne 63 : const denied = estWatch ? await auth.requireWatch(req) : await auth.requireAdmin;Rien à changer.;P3
CODE-106;api/admin.js;1122;MOYEN;Le rapport de marges retombe sur la constante héritée PW.MARGIN = 1,15 quand le coût est inconnu, ce qui produit une marge affichée circulaire (calculée depuis le prix lui-même).;extrait verifie ligne 1122 : const costTTC = (ci.srcTTC > 0) ? ci.srcTTC : (priceHt / PW.MARGIN) * (1 + tvaFR;Marquer explicitement ces lignes comme non mesurables plutôt que d'afficher une marge dérivée du prix.;P3
CODE-107;api/admin.js;35;MOYEN;3936 lignes et une trentaine de routes dans un seul handler, avec des variables partagées de portée ambiguë entre branches GET/POST — cause directe du défaut raz-compta.;extrait verifie ligne 35 : module.exports = async function handler(req, res) {;Extraire au minimum le traqueur de prix (handlePriceWatch, ~1000 lignes) et les diagnostics Revolut dans des modules _lib dédiés.;P2
CODE-108;api/admin.js;1182;MOYEN;Le message d'erreur Firestore brut est renvoyé au client , il est admin-gated mais peut contenir l'identifiant de projet et des chemins de collection.;extrait verifie ligne 1182 : + String(err.message || err).slice(0, 200);Conserver ce comportement uniquement derrière un drapeau de diagnostic explicite.;P3
CODE-109;api/_lib/catalog.js;65;BON;La panne et le vide sont distingués (disponible/raison/ageMs), avec un cache de secours borné à 15 minutes : c'est le correctif qui a fermé la vente à −70 %.;extrait verifie ligne 65 : async function loadOverridesEtat() {;Rien à changer.;P3
CODE-110;api/_lib/catalog.js;26;MOYEN;Lecture SYNCHRONE et JSON.parse du catalogue complet à chaque expiration du cache (60 s), ce qui bloque la boucle d'événements de la fonction serverless.;extrait verifie ligne 26 : var raw = fs.readFileSync(file, 'utf8'),;Charger le fichier une seule fois au démarrage du module (il est immuable en production) ou passer en fs.promises.;P2
CODE-111;api/_lib/catalog.js;147;MOYEN;Ce court-circuit saute aussi la passe d'expiration des promotions , il n'a pas d'effet aujourd'hui mais couplera deux règles indépendantes au premier changement.;extrait verifie ligne 147 : if (!overrides || Object.keys(overrides).length === 0) return products,;Déplacer le court-circuit après la normalisation promo, ou le supprimer.;P3
CODE-112;api/_lib/pricing.js;85;BON;Arrondi À L'UNITÉ, identique au client, ce qui garantit que le total affiché et le total débité coïncident sans dérive de centimes.;extrait verifie ligne 85 : function unitCents(product, territoryCode) {;Rien à changer , garder la parité vérifiée par check-pricing-parity.;P3
CODE-113;api/_lib/pricing.js;96;MOYEN;Le champ heavyKg n'est plus lu depuis que le palier suit le TYPE d'outil (08/08/2026) , un seuil mort à côté d'une règle vivante invite à s'y fier de nouveau.;extrait verifie ligne 96 : var COFFRET = { petit: 15, gros: 25, heavyKg: 3 },;Supprimer heavyKg de cette constante.;P3
CODE-114;api/_lib/pricing.js;73;MOYEN;Quand price_ht est absent, le HT est dérivé du TTC avec une TVA supposée à 20 % sans que rien ne le signale à l'appelant.;extrait verifie ligne 73 : : (product.price / (1 + (product.vat || 0.2)))),;Exposer un drapeau (htDerive) dans le retour de calcPrice pour que l'admin voie ces fiches.;P3
CODE-115;api/_lib/pricing-config.js;120;BAS;Le repli numérique de sanitize n'a AUCUNE borne haute : targetNet = 50 (5000 % de marge) ou is = 3 sont acceptés et réécrivent silencieusement tout le catalogue au prochain reprice-all.;extrait verifie ligne 120 : if (isFinite(n) && n >= 0) out[k] = n,;Déclarer un intervalle min/max par clé (targetNet ≤ 1, is ≤ 1, tvaFR ≤ 1, ordersPerYear ≥ 1…) et refuser hors bornes.;P1
CODE-116;api/_lib/pricing-config.js;55;BON;La priorité « réglage enregistré > défaut » est rétablie à la lecture et la fonction est exportée pour que le contrôle CI teste le vrai chemin, pas une copie.;extrait verifie ligne 55 : function fusionner(base, enBase) {;Rien à changer.;P3
CODE-117;api/_lib/pricing-config.js;11;MOYEN;Cache par INSTANCE : save() n'invalide que l'instance qui écrit, les autres instances chaudes servent l'ancienne configuration jusqu'à 30 s après un changement de marge.;extrait verifie ligne 11 : var _cache = null, _cacheTime = 0,;Documenter le délai dans l'écran admin ou réduire le TTL sur le chemin d'écriture de prix.;P3
CODE-118;api/_lib/pricing-model.js;20;BON;Module pur, sans I/O, dont chaque valeur par défaut est sourcée et datée, avec l'arbitrage de taux de commission chiffré et assumé par écrit.;extrait verifie ligne 20 : var DEFAULT_CONFIG = {;Rien à changer.;P3
CODE-119;api/_lib/pricing-model.js;180;MOYEN;Recherche LINÉAIRE de jusqu'à 2980 itérations appelant evaluate() à chaque pas, exécutée une fois par produit lors de reprice-all , l'accumulation flottante fait de surcroît dériver le pas.;extrait verifie ligne 180 : for (var m = 0.02, m <= 3, m += 0.001) {;Remplacer par une dichotomie sur [0,02 , 3] (une vingtaine d'itérations) ou résoudre le markup analytiquement.;P2
CODE-120;api/_lib/accounting.js;145;BON;Module comptable entièrement pur, avec le traitement des avoirs, du mécénat et de l'abonnement documenté et justifié fiscalement.;extrait verifie ligne 145 : function synthesize(payments, charges, cfg, refunds) {;Rien à changer.;P3
CODE-121;api/_lib/accounting.js;294;MOYEN;brandStats ne reprend pas le filtre `amountCents > 0` appliqué par synthesize : le nombre de ventes par marque peut dépasser nb_ventes du compte de résultat.;extrait verifie ligne 294 : var succeeded = (payments || []).filter(function (p) { return p && p.status === ;Extraire un unique prédicat estVenteAcquise(p) et l'utiliser dans les deux fonctions.;P2
CODE-122;api/_lib/accounting.js;237;MOYEN;Deux champs portent la même valeur (frais_encaissement et frais_stripe), de même que dans le bloc `brut` : toute correction future doit être appliquée à quatre endroits.;extrait verifie ligne 237 : frais_stripe: round2(commission), // alias hérité — lu par d'anciens écrans;Dater la suppression de l'alias et vérifier par grep qu'aucun écran ne le lit plus.;P3
CODE-123;api/_lib/analytics.js;90;BAS;safeToken autorise `/` et `.` alors que sa sortie sert d'IDENTIFIANT DE DOCUMENT Firestore : un identifiant produit contenant `/` fait jeter le SDK Admin et le lot entier d'événements est perdu.;extrait verifie ligne 90 : return s.replace(/[^\w .:/'\-À-ÿ]/g, ''), // alphanum + ponctuation légère;Retirer `/` et `.` de la classe autorisée, et rejeter les jetons valant '.' ou '..'.;P1
CODE-124;api/_lib/analytics.js;243;MOYEN;La clé produit est concaténée dans un dot-path , un identifiant contenant un point est éclaté en sous-objets par buildData() et l'affinité s'écrit au mauvais endroit.;extrait verifie ligne 243 : Object.keys(affProd).forEach(function (k) { vinc['affProd.' + k] = affProd[k], };Interdire le point dans safeToken ou échapper la clé avant de bâtir le chemin.;P2
CODE-125;api/_lib/analytics.js;220;MOYEN;L'identifiant de document vient directement d'une valeur client, ce qui permet à un visiteur de créer un nombre arbitraire de documents dans analytics_products.;extrait verifie ligne 220 : ops.push({ coll: 'analytics_products', doc: ev.id, merge: true,;Valider ev.id contre les identifiants réellement présents au catalogue, ou hacher comme le fait clickDocId.;P2
CODE-126;api/_lib/analytics.js;74;BON;Détection de robots par allowlist inverse, avec liste de faux positifs connus (Cubot) et UA vide traité comme suspect.;extrait verifie ligne 74 : function isBot(ua) {;Rien à changer.;P3
CODE-127;api/_lib/analytics.js;312;MOYEN;La rétention « 13 mois » est approximée par 390 jours, ce qui décale la purge RGPD de plus de deux semaines selon la période.;extrait verifie ligne 312 : visitorLastSeenBefore: nowMs - 13 * 30 * 24 * 3600 * 1000 // timestamp ms;Utiliser setUTCMonth comme le fait déjà monthsAgoKey juste au-dessus.;P3
CODE-128;api/_lib/courses.js;219;BAS;alertCourseAgain(course, id) ne reçoit pas `db` et il n'existe aucun `db` de portée module : la fonction lève ReferenceError à chaque appel, après commit de la transaction appelante.;extrait verifie ligne 219 : const livreurs = await destinatairesLivreurs(db, 50),;Ajouter db en paramètre (comme alertNewCourse) et le passer depuis contact.js.;P0
CODE-129;api/_lib/courses.js;251;BAS;Même défaut dans alertCourierApplication(compte, uid) : `db` n'est ni paramètre ni variable de module, donc l'alerte de nouveau dossier livreur ne part jamais.;extrait verifie ligne 251 : const livreurs = await destinatairesLivreurs(db, 50),;Ajouter db en paramètre et corriger l'appel dans contact.js ligne 737.;P0
CODE-130;api/_lib/courses.js;259;BAS;Bloc SMS copié-collé depuis alertNewCourse dans alertCourierApplication, qui n'a pas de variable `course` : deuxième ReferenceError garantie dans la même fonction.;extrait verifie ligne 259 : const sms = '🛵 Pirates Tools — nouvelle course zone ' + course.zone + ' · ';Supprimer ce bloc SMS, sans objet pour une candidature livreur.;P0
CODE-131;api/_lib/courses.js;38;MOYEN;Deux adresses personnelles en dur dans le code source servent de porte d'accès (isTester) à tout le service de courses, et sont dupliquées dans PIECES_BYPASS_EMAILS juste en dessous.;extrait verifie ligne 38 : const TEST_EMAILS = ['justforwada@icloud.com', 'contact.piratestools@gmail.com'];Déplacer ces listes en variables d'environnement pour qu'elles ne vivent pas dans l'historique git.;P2
CODE-132;api/_lib/courses.js;76;BON;La zone et le prix sont recalculés côté serveur depuis lat/lng, jamais lus dans le corps client.;extrait verifie ligne 76 : const z = BAREME.find((b) => km <= b.maxKm),;Rien à changer.;P3
CODE-133;api/_lib/paiement/index.js;142;BON;Normalisation par table EXPLICITE avec repli 'inconnu' : aucun état non cartographié ne peut devenir 'paye' et déclencher une expédition.;extrait verifie ligne 142 : function normaliserEtat(brut, table) {;Rien à changer.;P3
CODE-134;api/_lib/paiement/index.js;125;MOYEN;La couture d'abstraction annonce un basculement par variable d'environnement, mais nomFournisseur/fournisseur renvoient Revolut en dur : la promesse de retour arrière du commentaire d'en-tête n'est plus tenue.;extrait verifie ligne 125 : function nomFournisseur() {;Mettre à jour le commentaire d'en-tête pour refléter le mono-fournisseur, ou rétablir la lecture de PAYMENT_PROVIDER.;P3
CODE-135;api/_lib/paiement/reconciliation.js;70;BON;Module pur sans I/O, avec la règle de périmètre (source + exclusion des commandes de test) définie une seule fois et partagée avec le webhook.;extrait verifie ligne 70 : function estANous(o) {;Rien à changer.;P3
CODE-136;api/_lib/paiement/reconciliation.js;111;MOYEN;Un ordre sans creeAMs exploitable est traité comme infiniment ancien et signalé orphelin sans délai de grâce, alors qu'il peut être en cours de traitement.;extrait verifie ligne 111 : var age = maintenant - (typeof o.creeAMs === 'number' ? o.creeAMs : 0),;Classer les ordres sans date en 'indatables' plutôt qu'en orphelins.;P3
CODE-137;api/_lib/paiement/revolut.js;147;BON;La commission est lue sur le paiement ABOUTI et rend null (jamais 0) quand elle est inconnue, ce qui évite de confondre « inconnue » et « nulle » au compte de résultat.;extrait verifie ligne 147 : function commissionCents(payments) {;Rien à changer.;P3
CODE-138;api/_lib/paiement/revolut.js;305;BAS;listerPaiements ne pagine pas : au-delà de 100 ordres 'completed' dans la fenêtre, la réconciliation compare une liste tronquée et MANQUE silencieusement des paiements orphelins.;extrait verifie ligne 305 : q.push('limit=100'),;Boucler sur la pagination (curseur ou fenêtre glissante) et signaler explicitement une réponse tronquée.;P1
CODE-139;api/_lib/paiement/revolut.js;91;MOYEN;En bac à sable cette fonction teste REVOLUT_SECRET_KEY_SANDBOX alors que /api/health rapporte `revolut: !!process.env.REVOLUT_SECRET_KEY` : la santé peut être verte pendant que le paiement est inconfigurable.;extrait verifie ligne 91 : function estConfigure() { return !!cleSecrete(), };Faire calculer la ligne `revolut` de health.js par rev.estConfigure() au lieu de lire l'environnement directement.;P2
CODE-140;api/_lib/paiement/revolut.js;348;BON;Fenêtre anti-rejeu de 5 minutes appliquée dans les deux sens, avec comparaison de signature en temps constant sur chacune des signatures de l'en-tête.;extrait verifie ligne 348 : if (!isFinite(ageMs) || Math.abs(ageMs) > FENETRE_MS) {;Rien à changer , garder la note qui précise que cette fenêtre est un choix maison et non une valeur documentée par Revolut.;P3
CODE-141;api/_lib/nomenclature.js;620;BON;Lecteur de suffixe plutôt que table figée, avec les codes non reconnus rendus dans `inconnus` et le drapeau `nu` qui n'est plus déduit d'un suffixe vide.;extrait verifie ligne 620 : function lireSuffixeDewalt(sku) {;Rien à changer.;P3
CODE-142;api/_lib/nomenclature.js;1084;MOYEN;construireIndex jette au CHARGEMENT du module sur un rayon inconnu : une faute de frappe dans TYPES fait tomber en 500 tous les endpoints qui requièrent price-parse (admin, products, create-payment-intent, webhook).;extrait verifie ligne 1084 : var INDEX = construireIndex(),;Faire valider TYPES/RAYONS par un contrôle CI et rendre le chargement tolérant (entrée ignorée + journal) en production.;P2
CODE-143;api/_lib/nomenclature.js;674;MOYEN;Seconde source de vérité, incomplète (G, Q, R, W, U, Z absents), pour une information que BATTERIES_DEWALT et lireSuffixeDewalt savent déjà produire.;extrait verifie ligne 674 : var SUFFIXES_DEWALT = {;Dériver SUFFIXES_DEWALT de BATTERIES_DEWALT, ou le supprimer si plus aucun appelant ne le lit.;P2
CODE-144;api/_lib/price-parse.js;2109;BAS;`var SERIES` est déclaré une seconde fois et écrase la liste dérivée de nomen.GAMMES (ligne 2096) : la nomenclature n'est plus la source de vérité des séries, et c'est cette liste figée qui est exportée.;extrait verifie ligne 2109 : var SERIES = ['flexvolt', 'powerstack', 'xtreme', 'atomic', 'powerdetect', 'xr',;Supprimer la déclaration en double et ne garder que la version dérivée de la nomenclature.;P2
CODE-145;api/_lib/price-parse.js;2110;MOYEN;`var BOITES` est également déclaré deux fois avec une valeur strictement identique, à quatorze lignes d'écart.;extrait verifie ligne 2110 : var BOITES = /\b(t-?\s?stak|tough\s?system|makpac|systainer|l-?boxx|tanos)\b/,;Supprimer le doublon.;P3
CODE-146;api/_lib/price-parse.js;2160;BAS;typerTitre compile une RegExp NEUVE par entrée de l'index (715 écritures) pour chaque titre analysé , sur un balayage de 67 pages × 60 tuiles cela représente plusieurs millions de compilations de motifs.;extrait verifie ligne 2160 : function typerTitre(bas) {;Pré-compiler les expressions une fois au chargement du module, à côté de construireIndex.;P1
CODE-147;api/_lib/price-parse.js;2000;BON;Sélection du coût par le minimum des sources fraîches et en stock, avec enMillis qui neutralise les trois formes d'horodatage Firestore (nombre, Timestamp, sentinel).;extrait verifie ligne 2000 : function choisirCoutSource(sources, nowMs, maxAgeMs) {;Rien à changer.;P3
CODE-148;api/_lib/price-parse.js;31;MOYEN;2879 lignes mêlant quatre parseurs de sites, l'extraction de caractéristiques, l'appariement, le diagnostic de page et la planification de balayage dans un seul module.;extrait verifie ligne 31 : function stripHtml(input) {;Séparer au minimum les parseurs par site (cotebrico, clickoutil, idealo) du moteur de caractéristiques et du diagnostic.;P2
CODE-149;scripts/ci.js;38;BON;safeRequire distingue sur le DISQUE « fichier absent » (contrôle optionnel) de « fichier présent illisible » (porte morte, exit 1).;extrait verifie ligne 38 : var present = fs.existsSync(base) || fs.existsSync(base + '.js');Ne rien changer , ce mécanisme est la référence du dépôt.;P3
CODE-150;scripts/ci.js;200;MOYEN;Les 60 portes sont enchaînées en série alors qu'aucune ne dépend du résultat d'une autre.;extrait verifie ligne 200 : await runOne(reqIds, 'check-required-ids'),;Regrouper les portes pures en lots Promise.all, en gardant en série celles qui mutent process.env.;P3
CODE-151;scripts/ci.js;57;MOYEN;60 déclarations safeRequire puis 60 runOne recopient la même liste dans deux ordres différents : un oubli dans l'un des deux blocs ne se voit pas.;extrait verifie ligne 57 : var reqIds = safeRequire('./check-required-ids', 'check-required-ids'),;Déclarer un tableau unique [{chemin,label}] et le parcourir pour charger puis exécuter.;P2
CODE-152;scripts/check-paths.js;87;BAS;Les trois fichiers sont résolus depuis process.cwd() et readIfExists rend '' s'ils manquent : lancée hors de pirates-tools/, la porte rend [] et passe au vert sans avoir rien lu.;extrait verifie ligne 87 : html: readIfExists(path.join(process.cwd(), 'index.html')),;Résoudre depuis path.join(__dirname,'..') et échouer si index.html/app.js/styles.css sont vides.;P1
CODE-153;scripts/check-paths.js;21;BAS;Aucun préalable : zéro chemin d'image collecté est indiscernable d'un catalogue sain, alors que toutes les autres portes du dépôt en posent un.;extrait verifie ligne 21 : function readIfExists(p){ return fs.existsSync(p) ? fs.readFileSync(p,'utf8') : ;Ajouter un préalable « au moins N chemins relevés, sinon erreur ».;P2
CODE-154;scripts/check-required-ids.js;56;BAS;Même défaut de socle : chemin relatif au cwd, donc la porte dépend du répertoire de lancement au lieu de sa propre position.;extrait verifie ligne 56 : var html = fs.existsSync('index.html') ? fs.readFileSync('index.html','utf8') : ;Passer par path.join(__dirname,'..','index.html').;P1
CODE-155;scripts/check-required-ids.js;12;MOYEN;Le `|| false` est mort, et l'en-tête annonce « STRICT_PDP=1 (ou true) » alors que seul '1' est accepté.;extrait verifie ligne 12 : var STRICT_PDP = process.env.STRICT_PDP === '1' || false,;Retirer le `|| false` et aligner le commentaire sur la valeur réellement testée.;P3
CODE-156;scripts/check-fuites.js;120;BAS;La détection des listes de privilège cherche une espace unique avant le `=`, alors que la forme historique citée en tête du fichier est alignée (`var LV_TEST_EMAILS = [...]`) : la porte ne mordrait pas sur le défaut même pour lequel elle a été écrite.;extrait verifie ligne 120 : ok(app.indexOf(c[0] + ' =') === -1 && app.indexOf(c[0] + '=') === -1,;Remplacer les deux indexOf par une expression régulière tolérant les espaces : new RegExp('\\b'+c[0]+'\\s*=').;P1
CODE-157;scripts/check-fuites.js;77;MOYEN;Le préalable accepte 6 fichiers sur 8 : deux fichiers servis peuvent disparaître du balayage sans que la porte le refuse.;extrait verifie ligne 77 : ok(lus >= 6,;Exiger lus === SERVIS.length et nommer les manquants.;P2
CODE-158;scripts/check-fuites.js;97;BON;Le motif e-mail est doublé d'une allowlist d'entreprise et d'exemples, ce qui évite le crieur au loup qui fait désarmer une porte.;extrait verifie ligne 97 : var trouves = contenus[f].match(/[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}/;Conserver.;P3
CODE-159;scripts/trier-archives.js;111;BAS;Le fichier de sortie `fiches-conservees.json` satisfait le filtre `^fiches-.*\.json$` : au second lancement --confirmer il entre dans `sources`, est réécrit puis SUPPRIMÉ — perte totale de l'archive sur un outil dont le geste est déclaré irrattrapable.;extrait verifie ligne 111 : sources.forEach((f) => fs.unlinkSync(f)),;Exclure explicitement le nom de destination du filtre de sources, et refuser si dest ∈ sources.;P1
CODE-160;scripts/trier-archives.js;75;BAS;Le motif de sélection des sources est plus large que les fichiers produits par archiver-fiches.js et attrape toute production ultérieure du même préfixe.;extrait verifie ligne 75 : .filter((n) => /^fiches-.*\.json$/.test(n));Restreindre au gabarit réel `^fiches-.+-\d{4}-\d{2}-\d{2}\.json$`.;P2
CODE-161;scripts/audit/p3-dispatch-live.js;30;BAS;Deux variables d'environnement sont posées au CHARGEMENT du module et jamais restaurées : toutes les portes chargées ensuite par ci.js tournent avec une fausse clé Resend et un faux OWNER_EMAIL.;extrait verifie ligne 30 : process.env.RESEND_API_KEY = process.env.RESEND_API_KEY || 'test-key-audit',;Poser puis restaurer dans un try/finally à l'intérieur de la fonction exportée, comme le fait check-partner-application.js.;P2
CODE-162;scripts/audit/p3-dispatch-live.js;94;BAS;L'IIFE du haut de fichier rejoue les 25 appels au chargement puis écrase son `module.exports.__result`, et la fonction exportée refait exactement la même boucle : le contrôle tourne deux fois et son corps est dupliqué mot pour mot.;extrait verifie ligne 94 : module.exports = async function () {;Extraire une fonction `verifier()` unique, appelée par le mode verbeux ET par l'export.;P2
CODE-163;scripts/audit/p1-static.js;29;MOYEN;Le fichier est lu et tout l'audit exécuté au chargement du module, alors que .claude/rules/harnais.md interdit explicitement de lire un fichier au chargement — un app.js absent rendrait la porte inchargeable au lieu de remonter l'information.;extrait verifie ligne 29 : const APP = read('app.js'),;Déplacer lectures et analyse dans le corps de la fonction exportée.;P2
CODE-164;scripts/audit/p6-rgpd.js;48;MOYEN;Le throw est au niveau module : le renommage du gestionnaire transforme la porte RGPD en porte morte au lieu de produire un constat lisible.;extrait verifie ligne 48 : if (ERASE_START === -1) throw new Error('gestionnaire account-erase introuvable';Rentrer le contrôle dans la fonction exportée et pousser un message dans `problems`.;P2
CODE-165;scripts/audit/p7-architecture.js;176;BAS;`depassements` n'est jamais incrémenté : la ligne 191 rend donc toujours « Aucune croissance », et le cliquet des fonctions démesurées est une assertion morte.;extrait verifie ligne 176 : let depassements = 0,;Soit incrémenter dans la branche `len > plafond`, soit retirer la variable et le message pour ne pas affirmer un contrôle qui n'existe plus.;P2
CODE-166;scripts/audit/p7-architecture.js;69;BAS;Aucune garde sur les deux indexOf : si l'une des ancres textuelles disparaît d'app.js, `resetBloc` devient vide ou aberrant et le contrôle d'état d'identité change de sens en silence.;extrait verifie ligne 69 : let resetBloc = APP.slice(APP.indexOf('if (changed) {'), APP.indexOf('if (user) ;Ajouter un préalable qui échoue quand l'une des deux ancres est introuvable.;P2
CODE-167;scripts/audit/p8-perf.js;102;MOYEN;L'en-tête annonce « CONTRÔLE 1 — BUDGET DE POIDS (bloquant) » alors que les dépassements de P8.1, P8.4 et P8.5 ne poussent plus rien dans `problems` depuis la décision du 01/08 : la documentation contredit le code.;extrait verifie ligne 102 : if (!ok) {;Réécrire l'en-tête en « information, pas refus » pour les quatre budgets concernés.;P2
CODE-168;scripts/audit/p8-perf.js;272;BON;P8.6 mesure un défaut qu'aucun contrôle de poids ne peut voir (un poster trop petit est léger) et le dit explicitement.;extrait verifie ligne 272 : const COTE_ECRAN_MAX = 1674, // mesuré, pas supposé : iPad portrait 834 CSS × 2;Conserver.;P3
CODE-169;scripts/audit/p4-firestore.js;124;MOYEN;`key` est calculé puis jamais utilisé , la couverture d'index se contente de vérifier qu'un index existe sur la MÊME collection, sans comparer les champs — un index composite sur les mauvais champs passerait au vert.;extrait verifie ligne 124 : const key = (q.coll || '') + ':' + [...q.wheres.map((w) => w.field), ...q.orders;Comparer `key` aux entrées de `declared` et supprimer la comparaison par collection seule.;P2
CODE-170;scripts/audit/p5-money.js;113;MOYEN;L'idempotence est prouvée par la présence d'une collection au nom de l'ancien encaisseur, retiré du dépôt le 01/08/2026 , l'assertion est donc soit périmée, soit elle défend un vestige.;extrait verifie ligne 113 : ['événements de paiement journalisés', 'api/webhook.js', /collection\('stripe_ev;Ancrer sur le nom de collection réellement écrit par le webhook Revolut, ou l'entériner explicitement comme nom historique.;P2
CODE-171;scripts/audit/p2-xss.js;103;MOYEN;Tout `.map(...).join('')` est déclaré sûr sans inspecter le corps de la fonction de map, alors que le commentaire deux lignes plus haut annonce l'inverse.;extrait verifie ligne 103 : if (nm === 'join' || nm === 'map' || nm === 'filter' || nm === 'slice') return t;Descendre dans le corps du callback et classer ses morceaux, ou retirer la promesse du commentaire.;P2
CODE-172;scripts/audit/p9-a11y.js;40;BON;Les contrastes sont recalculés depuis les hexadécimaux réellement écrits, jamais listés en dur : changer une couleur change le verdict.;extrait verifie ligne 40 : const CSS = read('styles.css').replace(/\/\*[\s\S]*?\*\//g, ''),;Conserver.;P3
CODE-173;scripts/audit/p3-endpoints.js;43;BON;La lecture défensive avec remontée des fichiers absents corrige le mode de panne documenté (porte morte depuis la migration) sans faire taire le reste du contrôle.;extrait verifie ligne 43 : const read = (f) => {;Conserver.;P3
CODE-174;scripts/check-analytics.js;19;MOYEN;Trois assertions déréférencent directement le retour de sanitizeEvent : si la fonction se met à rendre null, la porte lève un TypeError et interrompt la CI au lieu de rapporter.;extrait verifie ligne 19 : ok(A.sanitizeEvent({ event: 'view_item', id: 'a@b.com' }).id === undefined, 'un ;Passer par une variable intermédiaire testée, comme les lignes 15-17 le font déjà.;P2
CODE-175;scripts/check-ancres.js;112;MOYEN;Le commentaire renvoie à un préalable qui n'existe pas : sans esprima, sansCommentaires rend la source brute, `nonDepouilles` reste vide et la porte se met à hurler sur des ancres citées en commentaire.;extrait verifie ligne 112 : try { esprima = require(path.join(RACINE, 'node_modules', 'esprima')), } catch (;Ajouter un préalable qui échoue quand esprima est introuvable, comme pour `connus.size < 100`.;P2
CODE-176;scripts/check-ancres.js;254;MOYEN;Le message cite « index.html ni app.js » alors que le relevé lit désormais TOUS les .js de la racine : le diagnostic envoie chercher au mauvais endroit.;extrait verifie ligne 254 : errors.push('[check-ancres] ⛔ `#' + id + '` n\'existe NULLE PART dans index.html;Remplacer par « dans index.html ni aucun .js servi à la racine ».;P3
CODE-177;scripts/check-ancres.js;216;BON;Préalable explicite : un relevé cassé fait échouer la porte au lieu de la faire verdir à vide.;extrait verifie ligne 216 : if (connus.size < 100) {;Conserver.;P3
